"平成27年秋期　問23 1問目／選択範囲の問題数675問","特許権に関する記述のうち，適切なものはどれか。","","A社が特許を出願するより前にB社が独自に開発して日本国内で発売した製品は，A社の特許権の侵害にならない。","組込み機器におけるハードウェアは特許権で保護されるが，ソフトウェアは保護されない。","審査を受けて特許権を取得した後に，特許権が無効となることはない。","先行特許と同一の技術であっても，独自に開発した技術であれば特許権の侵害にならない。","A"
"令和3年秋期　問18 12問目／選択範囲の問題数675問","レイヤ3ネットワーク内に論理的なレイヤ2ネットワークをカプセル化によって構築するプロトコルはどれか。","","IEEE802.1ad(QinQ)","IPsec","PPPoE","VXLAN","E"
"平成30年秋期　問2 13問目／選択範囲の問題数675問","JVNなどの脆弱性対策情報ポータルサイトで採用されているCVE(Common Vulnerabilities and Exposures)識別子の説明はどれか。","","コンピュータで必要なセキュリティ設定項目を識別するための識別子","脆弱性が悪用されて改ざんされたWebサイトのスクリーンショットを識別するための識別子","製品に含まれる脆弱性を識別するための識別子","セキュリティ製品を識別するための識別子","U"
"平成21年春期　問17 14問目／選択範囲の問題数675問","DBMSの排他制御機能に関する記述のうち，適切なものはどれか。","","排他制御機能によって，同時実行処理でのデータの整合性を保つことができる。","排他制御機能の使用によって，デッドロックを防止できる。","排他制御はDBMSが自動で行い，アプリケーションプログラムからロック，アンロックの指示はできない。","バッチによる更新処理では排他制御を行う必要はない。","A"
"令和4年春期　問1 15問目／選択範囲の問題数675問","Webサーバのログを分析したところ，Webサーバへの攻撃と思われるHTTPリクエストヘッダが記録されていた。次のHTTPリクエストヘッダから推測できる，攻撃者が悪用しようとしていた可能性が高い脆弱性はどれか。ここで，HTTPリクエストヘッダ中の""%20""は空白を意味する。

〔HTTPリクエストヘッダの一部〕
GET /cgi-bin/submit.cgi?user=;cat%20/etc/passwd HTTP/1.1
Accept: */*
Accept-Language: ja
UA-CPU: x86
Accept-Encoding: gzip，deflate
User-Agent: (省略)
Host: test.example.com
Connection: Keep-Alive","","HTTPヘッダインジェクション(HTTP Response Splitting)","OSコマンドインジェクション","SQLインジェクション","クロスサイトスクリプティング","I"
"平成23年秋期　問16 16問目／選択範囲の問題数675問","Webアプリケーションの脆弱性を悪用する攻撃手法のうち，Perlのsystem関数やPHPのexec関数など外部プログラムの呼出しを可能にするための関数を利用し，不正にシェルスクリプトや実行形式のファイルを実行させるものはどれに分類されるか。","","HTTPヘッダインジェクション","OSコマンドインジェクション","クロスサイトリクエストフォージェリ","セッションハイジャック","I"
"平成30年秋期　問4 17問目／選択範囲の問題数675問","マルチベクトル型DDoS攻撃に該当するものはどれか。","","攻撃対象のWebサーバ1台に対して，多数のPCから一斉にリクエストを送ってサーバのリソースを枯渇させる攻撃と，大量のDNS通信によってネットワークの帯域を消費させる攻撃を同時に行う。","攻撃対象のWebサイトのログインパスワードを解読するために，ブルートフォースによるログイン試行を，多数のスマートフォンやIoT機器などの踏み台から成るボットネットから一斉に行う。","攻撃対象のサーバに大量のレスポンスが同時に送り付けられるようにするために，多数のオープンリゾルバに対して，送信元IPアドレスを攻撃対象のサーバのIPアドレスに偽装した名前解決のリクエストを一斉に送信する。","攻撃対象の組織内の多数の端末をマルウェアに感染させ，当該マルウェアを遠隔操作することによってデータの改ざんやファイルの消去を一斉に行う。","A"
"平成26年春期　問11 18問目／選択範囲の問題数675問","テンペスト(TEMPEST)攻撃を説明したものはどれか。","","故意に暗号化演算を誤動作させて正しい処理結果との差異を解析する。","処理時間の差異を計測し解析する。","処理中に機器から放射される電磁波を観測し解析する。","チップ内の信号線などに探針を直接当て，処理中のデータを観測し解析する。","U"
"平成24年春期　問18 19問目／選択範囲の問題数675問","シリアル回線で使用するものと同じデータリンクのコネクション確立やデータ転送を，LAN上で実現するプロトコルはどれか。","","MPLS","PPP","PPPoE","PPTP","U"
"令和4年秋期　問10 20問目／選択範囲の問題数675問","セキュリティ対策として，CASB(Cloud Access Security Broker)を利用した際の効果はどれか。","","クラウドサービスプロバイダが，運用しているクラウドサービスに対して，CASBを利用してDDoS攻撃対策を行うことによって，クラウドサービスの可用性低下を緩和できる。","クラウドサービスプロバイダが，クラウドサービスを運用している施設に対して，CASBを利用して入退室管理を行うことによって，クラウドサービス運用環境への物理的な不正アクセスを防止できる。","クラウドサービス利用組織の管理者が，従業員が利用しているクラウドサービスに対して，CASBを利用して脆弱性診断を行うことによって，脆弱性を特定できる。","クラウドサービス利用組織の管理者が，従業員が利用しているクラウドサービスに対して，CASBを利用して利用状況の可視化を行うことによって，許可を得ずにクラウドサービスを利用している者を特定できる。","E"
"令和3年春期　問25 21問目／選択範囲の問題数675問","ソフトウェア開発プロセスにおけるセキュリティを確保するための取組について，JIS Q 27001:2014(情報セキュリティマネジメントシステム－要求事項)の附属書Aの管理策に照らして監査を行った。判明した状況のうち，監査人が監査報告書に指摘事項として記載すべきものはどれか。","","ソフトウェア開発におけるセキュリティ機能の試験は，開発期間が終了した後に実施している。","ソフトウェア開発は，セキュリティ確保に配慮した開発環境において行っている。","ソフトウェア開発を外部委託している場合，外部委託先による開発活動の監督・監視において，セキュリティ確保の観点を考慮している。","パッケージソフトウェアを活用した開発において，セキュリティ確保の観点から，パッケージソフトウェアの変更は必要な変更に限定している。","A"
"令和4年春期　問10 22問目／選択範囲の問題数675問","CRYPTRECの主な活動内容はどれか。","","暗号技術の技術的検討並びに国際競争力の向上及び運用面での安全性向上に関する検討を行う。","情報セキュリティ政策に係る基本戦略の立案，官民における統一的，横断的な情報セキュリティ政策の推進に係る企画などを行う。","組織の情報セキュリティマネジメントシステムについて評価し認証する制度を運用する。","認証機関から貸与された暗号モジュール試験報告書作成支援ツールを用いて暗号モジュールの安全性についての評価試験を行う。","A"
"平成29年春期　問18 23問目／選択範囲の問題数675問","ICMP Flood攻撃に該当するものはどれか。","","HTTP GETコマンドを繰り返し送ることによって，攻撃対象のサーバにコンテンツ送信の負荷を掛ける。","pingコマンドを用いて大量の要求パケットを発信することによって，攻撃対象のサーバに至るまでの回線を過負荷にしてアクセスを妨害する。","コネクション開始要求に当たるSYNパケットを大量に送ることによって，攻撃対象のサーバに，接続要求ごとに応答を返すための過大な負荷を掛ける。","大量のTCPコネクションを確立することによって，攻撃対象のサーバに接続を維持させ続けてリソースを枯渇させる。","I"
"平成23年秋期　問5 24問目／選択範囲の問題数675問","ISP""A""管理下のネットワークから別のISP""B""管理下の宛先へSMTPで電子メールを送信する。電子メール送信者がSMTP-AUTHを利用していない場合，スパムメール対策OP25Bによって遮断される電子メールはどれか。","","ISP""A""管理下の固定IPアドレスから送信されたが，受信者の承諾を得ていない広告の電子メール","ISP""A""管理下の固定IPアドレスから送信されたが，送信元IPアドレスがDNSで逆引きできなかった電子メール","ISP""A""管理下の動的IPアドレスからISP""A""のメールサーバを経由して送信された電子メール","ISP""A""管理下の動的IPアドレスからISP""A""のメールサーバを経由せずに送信された電子メール","E"
"平成24年春期　問5 25問目／選択範囲の問題数675問","コンティンジェンシープランにおける留意点はどれか。","","企業のすべてのシステムを対象とするのではなく，システムの復旧の重要性と緊急性を勘案して対象を決定する。","災害などへの対応のために，すぐに使用できるよう，バックアップデータをコンピュータ室内又はセンタ内に保存しておく。","バックアップの対象は，機密情報の中から機密度を勘案して選択する。","被害のシナリオを作成し，これに基づく""予防策策定手順""を策定する。","A"
"令和4年春期　問11 26問目／選択範囲の問題数675問","インターネットバンキングの利用時に被害をもたらすMITB(Man-in-the-Browser)攻撃に有効なインターネットバンクでの対策はどれか。","","インターネットバンキングでの送金時に接続するWebサイトの正当性を確認できるよう，EV SSLサーバ証明書を採用する。","インターネットバンキングでの送金時に利用者が入力した情報と，金融機関が受信した情報とに差異がないことを検証できるよう，トランザクション署名を利用する。","インターネットバンキングでのログイン認証において，一定時間ごとに自動的に新しいパスワードに変更されるワンタイムパスワードを導入する。","インターネットバンキング利用時の通信をSSLではなくTLSを利用して暗号化するようにWebサイトを設定する。","I"
"令和3年春期　問24 27問目／選択範囲の問題数675問","ディスク障害時に，フルバックアップを取得してあるテープからディスクにデータを復元した後，フルバックアップ取得時以降の更新後コピーをログから反映させてデータベースを回復する方法はどれか。","","チェックポイントリスタート","リブート","ロールバック","ロールフォワード","E"
"令和3年秋期　問12 28問目／選択範囲の問題数675問","外部から侵入されたサーバ及びそのサーバに接続されていた記憶媒体を調査対象としてディジタルフォレンジックスを行うことになった。まず，稼働状態にある調査対象サーバや記憶媒体などから表に示すa～dのデータを証拠として保全する。保全の順序のうち，最も適切なものはどれか。","","a → c → d → b","b → c → a → d","c → a → d → b","d → c → a → b","E"
"平成28年春期　問25 29問目／選択範囲の問題数675問","組織体が情報システムにまつわるリスクに対するコントロールを適切に整備・運用する目的として，""システム管理基準""に示されているものはどれか。","","システム監査業務の品質を確保し，有効かつ効率的に監査を実施するため","情報システムが，組織体の目的を実現するように安全，有効かつ効率的に機能するため","情報セキュリティに係るリスクのマネジメントが効果的に実施されるよう，リスクマネジメントに基づくコントロールの整備・運用の状況を評価するため","リスクに対するコントロールをシステム監査人が評価し，保証又は助言を行い，ITガバナンスの実現に寄与するため","I"
"令和4年春期　問4 30問目／選択範囲の問題数675問","パスワードに使用できる文字の種類の数をM，パスワードの文字数をnとするとき，設定できるパスワードの理論的な総数を求める数式はどれか。","","Mn","M！
(M－n)！","M！
n！(M－n)！","(M＋n－1)！
n！(M－n)！","A"
"平成21年春期　問15 31問目／選択範囲の問題数675問","TCPヘッダ中のウィンドウサイズの説明として，適切なものはどれか。","","受信エラー時の再送に備えて送信側が保持しているデータのサイズを受信側に知らせるために使用される。","受信側からの確認応答を待たずに，データを続けて送信できるかどうかの判断に使用される。","送信側と受信側の最適なバッファサイズを接続開始時のハンドシェイクで決定するために使用される。","複数セグメントから成るデータの送信時，後続するセグメント数を受信側に知らせるために使用される。","I"
"平成22年春期　問2 32問目／選択範囲の問題数675問","XMLディジタル署名の特徴はどれか。","","XML文書中の，指定したエレメントに対して署名することができる。","エンベローピング署名(Enveloping Signature)では一つの署名対象に必ず複数の署名を付ける。","署名形式として，CMS(Cryptographic Message Syntax)を用いる。","署名対象と署名アルゴリズムをASN.1によって記述する。","A"
"平成24年秋期　問24 33問目／選択範囲の問題数675問","ソフトウェア開発・保守工程において，リポジトリを構築する理由として，最も適切なものはどれか。","","各工程で検出した不良を管理することが可能になり，ソフトウェアの品質分析が容易になる。","各工程での作業手順を定義することが容易になり，開発・保守時の作業のミスを防止することができる。","各工程での作業予定と実績を関連付けて管理することが可能になり，作業の進捗管理が容易になる。","各工程での成果物を一元管理することによって，開発・保守作業の効率が良くなり，用語の統一もできる。","E"
"令和4年春期　問6 34問目／選択範囲の問題数675問","量子暗号の特徴として，適切なものはどれか。","","暗号化と復号の処理を，量子コンピュータを用いて瞬時に行うことができるので，従来のコンピュータでの処理に比べて大量のデータの秘匿を短時間で実現できる。","共通鍵暗号方式であり，従来の情報の取扱量の最小単位であるビットの代わりに量子ビットを用いることによって，瞬時のデータ送受信が実現できる。","量子雑音を用いて疑似乱数を発生させて共通鍵を生成し，公開鍵暗号方式で共有することによって，解読が困難な秘匿通信が実現できる。","量子通信路を用いて安全に共有した乱数列を使い捨ての暗号鍵として用いることによって，原理的に第三者に解読されない秘匿通信が実現できる。","E"
"平成25年春期　問2 35問目／選択範囲の問題数675問","DNSSEC(DNS Security Extensions)の機能はどれか。","","DNSキャッシュサーバの設定によって再帰的な問合せの受付範囲が最大になるようにする。","DNSサーバから受け取るリソースレコードに対するディジタル署名を利用して，リソースレコードの送信者の正当性とデータの完全性を検証する。","ISPなどのセカンダリDNSサーバを利用してDNSコンテンツサーバを二重化することで名前解決の可用性を高める。","共通鍵暗号技術とハッシュ関数を利用したセキュアな方法で，DNS更新要求が許可されているエンドポイントを特定し認証する。","I"
"令和4年秋期　問1 36問目／選択範囲の問題数675問","送信者から受信者にメッセージ認証符号(MAC:Message Authentication Code)を付与したメッセージを送り，さらに受信者が第三者に転送した。そのときのMACに関する記述のうち，適切なものはどれか。ここで，共通鍵は送信者と受信者だけが知っており，送信者と受信者のそれぞれの公開鍵は3人とも知っているとする。","","MACは，送信者がメッセージと共通鍵を用いて生成する。MACを用いると，受信者がメッセージの完全性を確認できる。","MACは，送信者がメッセージと共通鍵を用いて生成する。MACを用いると，第三者が送信者の真正性を確認できる。","MACは，送信者がメッセージと受信者の公開鍵を用いて生成する。MACを用いると，第三者がメッセージの完全性を確認できる。","MACは，送信者がメッセージと送信者の公開鍵を用いて生成する。MACを用いると，受信者が送信者の真正性を確認できる。","A"
"令和3年秋期　問25 37問目／選択範囲の問題数675問","クラウドサービスの導入検討プロセスに対するシステム監査において，クラウドサービス上に保存されている情報の保全及び消失の予防に関するチェックポイントとして，最も適切なものはどれか。","","クラウドサービスの障害時における最大許容停止時間が検討されているか。","クラウドサービスの利用者IDと既存の社内情報システムの利用者IDの一元管理の可否が検討されているか。","クラウドサービスを提供する事業者が信頼できるか，事業者の事業継続性に懸念がないか，及びサービスが継続して提供されるかどうかが検討されているか。","クラウドサービスを提供する事業者の施設内のネットワークに，暗号化通信が採用されているかどうかが検討されているか。","U"
"平成29年秋期　問22 38問目／選択範囲の問題数675問","JIS X 25010:2013(システム及びソフトウェア製品の品質要求及び評価(SQuaRE)－システム及びソフトウェア品質モデル)におけるシステムの利用時の品質特性に""満足性""がある。""満足性""の品質副特性の一つである""実用性""の説明はどれか。","","個人的なニーズを満たすことから利用者が感じる喜びの度合い","利用者がシステム又はソフトウェアを利用するときの快適さに満足する度合い","利用者又は他の利害関係者がもつ，製品又はシステムが意図したとおりに動作するという確信の度合い","利用の結果及び利用の影響を含め，利用者が把握した目標の達成状況によって得られる利用者の満足の度合い","E"
"平成27年春期　問1 39問目／選択範囲の問題数675問","Webのショッピングサイトを安全に利用するため，WebサイトのSSL証明書を表示して内容を確認する。Webサイトが，EV SSL証明書を採用している場合，存在するサブジェクトフィールドのOrganization Nameに記載されているものはどれか。","","Webサイトの運営団体の組織名","証明書の登録業務を行う機関(RA)の組織名","証明書の発行業務を行う機関(CA)の組織名","ドメイン名の登録申請を受け付ける機関(レジストラ)の組織名","A"
"平成28年春期　問9 40問目／選択範囲の問題数675問","暗号に関連するデータのうち，次に示す処理で出力可能なものはどれか。

〔処理〕
カウンタを初期化する。
その時点に得た時刻データを共通鍵で暗号化する。
カウンタの値と(2)の結果の XOR をとり，さらに共通鍵で暗号化する。
(3)の結果を出力する。
(3)の結果と(2)の結果の XOR をとり，さらに共通健で暗号化する。
(5)の結果をカウンタの新しい値とする。
(4)の出力について，必要とする分の数を得るまで(2)～(6)を繰り返す。","","擬似乱数","ディジタル証明書","ハッシュ値","メッセージ認証コード","A"
"平成25年春期　問12 41問目／選択範囲の問題数675問","企業のDMZ上で1台のDNSサーバをインターネット公開用と社内用で共用している。このDNSサーバが，DNSキャッシュポイズニングの被害を受けた結果，引き起こされ得る現象はどれか。","","DNSサーバのハードディスク上のファイルに定義されたDNSサーバ名が書き換わり，外部からの参照者が，DNSサーバに接続できなくなる。","DNSサーバのメモリ上にワームが常駐し，DNS参照元に対して不正プログラムを送り込む。","社内の利用者が，インターネット上の特定のWebサーバを参照しようとすると，本来とは異なるWebサーバに誘導される。","社内の利用者間で送信された電子メールの宛先アドレスが書き換えられ，正常な送受信ができなくなる。","U"
"令和4年秋期　問24 42問目／選択範囲の問題数675問","ある業務を新たにシステム化するに当たって，A～Dのシステム化案の初期費用，運用費及びシステム化によって削減される業務費を試算したところ，表のとおりであった。システムの利用期間を5年とするとき，最も投資利益率の高いシステム化案はどれか。ここで，投資利益率は次式によって算出する。また，利益の増加額は削減される業務費から投資額を減じたものとし，投資額は初期費用と運用費の合計とする。

投資利益率＝利益の増加額÷投資額","","A","B","C","D","E"
"平成23年特別　問15 43問目／選択範囲の問題数675問","ICカードの耐タンパ性を高める対策はどれか。","","ICカードとICカードリーダとが非接触の状態で利用者を認証して，利用者の利便性を高めるようにする。","故障に備えてあらかじめ作成した予備のICカードを保管し，故障時に直ちに予備カードに交換して利用者がICカードを使い続けられるようにする。","信号の読み出し用プローブの取付けを検出するとICチップ内の保存情報を消去する回路を設けて，ICチップ内の情報を容易に解析できないようにする。","退職者のICカードは業務システム側で利用を停止して，ほかの利用者が使用できないようにする。","U"
"平成22年秋期　問21 44問目／選択範囲の問題数675問","和両立である表R(ID，NAME)，S(NO，NAMAE)がある。差集合R－Sを求めるSELECT文とするために，aに入れるべき適切な字句はどれか。ここで，下線部は主キーを表す。また，NAMEとNAMAEはNULL不可とする。","","EXISTS","NOT EXISTS","NOT IN","R.ID NOT IN","I"
"平成26年春期　問18 45問目／選択範囲の問題数675問","10Mビット／秒のLANで接続された4台のノード(A，B，C，D)のうち， 2組(AとB，CとD)のノード間でそれぞれ次のファイル転送を行った場合， LANの利用率はおよそ何%か。ここで，転送時にはファイルの大きさの30%に当たる各種制御情報が付加されるものとする。また， LANではリピータハブが使用されており，更に衝突は考えないものとする。

ファイルの大きさ：平均1,000バイト
ファイルの転送頻度：平均60回／秒(1組当たり)","","2","6","10","12","E"
"平成29年春期　問4 46問目／選択範囲の問題数675問","PCなどに内蔵されるセキュリティチップ(TPM:Trusted Platform Module)がもつ機能はどれか。","","TPM間の共通鍵の交換","鍵ペアの生成","ディジタル証明書の発行","ネットワーク経由の乱数送信","I"
"令和3年春期　問6 47問目／選択範囲の問題数675問","ステートフルパケットインスペクション方式のファイアウォールの特徴はどれか。","","WebクライアントとWebサーバとの間に配置され，リバースプロキシサーバとして動作する方式であり，Webクライアントからの通信を目的のWebサーバに中継する際に，受け付けたパケットに不正なデータがないかどうかを検査する。","アプリケーションプロトコルごとにプロキシソフトウェアを用意する方式であり，クライアントからの通信を目的のサーバに中継する際に，通信に不正なデータがないかどうかを検査する。","特定のアプリケーションプロトコルだけを通過させるゲートウェイソフトウェアを利用する方式であり，クライアントからのコネクションの要求を受け付け，目的のサーバに改めてコネクションを要求することによって，アクセスを制御する。","パケットフィルタリングを拡張した方式であり，過去に通過したパケットから通信セッションを認識し，受け付けたパケットを通信セッションの状態に照らし合わせて通過させるか遮断するかを判断する。","E"
"平成23年秋期　問10 48問目／選択範囲の問題数675問","表に示すテーブルX，Yへのアクセス要件に関して，JIS Q 27001:2006(ISO/IEC 27001:2005)が示す""完全性""の観点からセキュリティを脅かすおそれのあるアクセス権付与はどれか。","","GRANT INSERT ON Y TO A","GRANT INSERT ON Y TO B","GRANT SELECT ON X TO A","GRANT SELECT ON X TO B","A"
"平成22年春期　問20 49問目／選択範囲の問題数675問","192.168.1.0/24のネットワークアドレスを，16個のサブネットに分割したときのサブネットマスクはどれか。","","255.255.255.192","255.255.255.224","255.255.255.240","255.255.255.248","U"
"平成27年秋期　問19 50問目／選択範囲の問題数675問","スパニングツリープロトコルの機能を説明したものはどれか。","","MACアドレスを見て，フレームを廃棄するか中継するかを決める。","一定時間通信が行われていないMACアドレスを，MACアドレステーブルから消去する。","経路が複数存在する場合，アプリケーションやアドレスごとに経路を振り分けて，負荷を分散する。","複数のブリッジ間で情報を交換し合い，ループ発生の検出や障害発生時の迂回ルート決定を行う。","E"
"令和4年春期　問14 51問目／選択範囲の問題数675問","HTTP Strict Transport Security(HSTS)の動作はどれか。","","HTTP over TLS(HTTPS)によって接続しているとき，EV SSL証明書であることを利用者が容易に識別できるように，Webブラウザのアドレス表示部分を緑色に表示する。","Webサーバからコンテンツをダウンロードするとき，どの文字列が秘密情報かを判定できないように圧縮する。","WebサーバとWebブラウザとの間のTLSのハンドシェイクにおいて，一度確立したセッションとは別の新たなセッションを確立するとき，既に確立したセッションを使って改めてハンドシェイクを行う。","Webサイトにアクセスすると，Webブラウザは，以降の指定された期間，当該サイトには全てHTTPSによって接続する。","E"
"平成25年秋期　問20 52問目／選択範囲の問題数675問","TCPのサブミッションポート(ポート番号587)の説明として，適切なものはどれか。","","FTPサービスで，制御用コネクションのポート番号21とは別にデータ転送用に使用する。","Webアプリケーションで，ポート80番のHTTP要求とは別に，サブミットボタンをクリックした際の入力フォームのデータ送信に使用する。","コマンド操作の遠隔ログインで，通信内容を暗号化するためにTELNETのポート番号23の代わりに使用する。","電子メールサービスで，迷惑メール対策としてSMTPのポート番号25の代わりに使用する。","E"
"平成25年秋期　問6 53問目／選択範囲の問題数675問","サイドチャネル攻撃の手法であるタイミング攻撃の対策として，最も適切なものはどれか。","","演算アルゴリズムに対策を施して，演算内容による処理時間の差異が出ないようにする。","故障を検出する機構を設けて，検出したら機密情報を破棄する。","コンデンサを挿入して，電力消費量が時間的に均一となるようにする。","保護層を備えて，内部のデータが不正に書き換えられないようにする。","A"
"令和2年秋期　問3 54問目／選択範囲の問題数675問","エクスプロイトコードの説明はどれか。","","攻撃コードとも呼ばれ，ソフトウェアの脆弱性を悪用するコードのことであり，使い方によっては脆弱性の検証に役立つこともある。","マルウェア定義ファイルとも呼ばれ，マルウェアを特定するための特徴的なコードのことであり，マルウェア対策ソフトによるマルウェアの検知に用いられる。","メッセージとシークレットデータから計算されるハッシュコードのことであり，メッセージの改ざん検知に用いられる。","ログインのたびに変化する認証コードのことであり，窃取されても再利用できないので不正アクセスを防ぐ。","A"
"平成21年春期　問20 55問目／選択範囲の問題数675問","ソフトウェア開発のプロセスモデルのうち，開発サイクルを繰り返すことによって，システムの完成度を高めていくプロセスモデルはどれか。","","RADモデル","ウォータフォールモデル","スパイラルモデル","プロトタイピングモデル","U"
"平成28年春期　問13 56問目／選択範囲の問題数675問","スパムメールの対策として，宛先ポート番号25の通信に対してISPが実施するOP25Bの説明はどれか。","","ISP管理外のネットワークからの通信のうち，スパムメールのシグネチャに該当するものを遮断する。","動的IPアドレスを割り当てたネットワークからISP管理外のネットワークへの直接の通信を遮断する。","メール送信元のメールサーバについてDNSの逆引きができない場合，そのメールサーバからの通信を遮断する。","メール不正中継の脆弱性をもつメールサーバからの通信を遮断する。","I"
"平成27年秋期　問2 58問目／選択範囲の問題数675問","特定の認証局が発行したCRLに関する記述のうち，適切なものはどれか。","","CRLには，失効したディジタル証明書に対応する秘密鍵が登録される。","CRLには，有効期限内のディジタル証明書のうち失効したディジタル証明書と失効した日時の対応が提示される。","CRLは，鍵の漏えい，破棄申請の状況をリアルタイムに反映するプロトコルである。","有効期限切れで失効したディジタル証明書は，所有者が新たなディジタル証明書を取得するまでの間，CRLに登録される。","I"
"平成26年秋期　問15 59問目／選択範囲の問題数675問","スパムメールへの対策であるDKIM(DomainKeys Identified Mail)の説明はどれか。","","送信側メールサーバでディジタル署名を電子メールのヘッダに付与して，受信側メールサーバで検証する。","送信側メールサーバで利用者が認証されたとき，電子メールの送信が許可される。","電子メールのヘッダや配送経路の情報から得られる送信元情報を用いて，メール送信元のIPアドレスを検証する。","ネットワーク機器で，内部ネットワークから外部のメールサーバのTCPポート25番への直接の通信を禁止する。","A"
